date,crs,width,height,count,dtype,res_x,res_y,valid_pixels,valid_fraction_of_bbox_pixels,ndvi_min,ndvi_max,ndvi_mean,fai_min,fai_max,fai_mean,quality_min,quality_max,source_terra_pixels,source_aqua_pixels,source_other_pixels,nodata
20240501,EPSG:32651,223,151,5,float32,500.0,500.0,2284,0.06782882428058089,-0.9770992398262024,0.835117757320404,-0.38074380108367345,-0.07133015245199203,0.27770593762397766,-0.02542153229613961,55.0,100.0,2284,0,0,-9999.0
20240502,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240503,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240504,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240505,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240506,EPSG:32651,223,151,5,float32,500.0,500.0,77,0.0022866985418584624,-0.4658944606781006,0.8966202735900879,-0.32852904653394377,-0.050938792526721954,0.20680150389671326,-0.0295090648563361,75.0,100.0,77,0,0,-9999.0
20240507,EPSG:32651,223,151,5,float32,500.0,500.0,31,0.0009206188934754848,-0.22038567066192627,0.7841306924819946,0.318951403902423,-0.03284231200814247,0.15527357161045074,0.04865238779494839,80.0,100.0,14,17,0,-9999.0
20240508,EPSG:32651,223,151,5,float32,500.0,500.0,3520,0.10453479048495827,-0.9950000047683716,0.8502772450447083,-0.25406417371665485,-0.050170350819826126,0.34129416942596436,-0.010654893594883932,55.0,100.0,1990,1530,0,-9999.0
20240509,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240510,EPSG:32651,223,151,5,float32,500.0,500.0,2346,0.06967006206753185,-0.9758307933807373,0.9934640526771545,-0.2540096719719498,-0.05452995002269745,0.30243024230003357,-0.005551086472199651,75.0,100.0,467,1879,0,-9999.0
20240511,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240512,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240513,EPSG:32651,223,151,5,float32,500.0,500.0,1006,0.029875567962462508,-0.4955640137195587,0.7367269992828369,-0.36398140064562867,-0.05675015226006508,0.33393678069114685,-0.028801285198757288,80.0,100.0,1005,1,0,-9999.0
20240514,EPSG:32651,223,151,5,float32,500.0,500.0,2105,0.06251299260535147,-0.9832869172096252,0.6784777045249939,0.016993068591879587,-0.05440210923552513,0.22068573534488678,0.013204606446604003,60.0,100.0,1823,282,0,-9999.0
20240515,EPSG:32651,223,151,5,float32,500.0,500.0,790,0.023460933091794613,-0.9893617033958435,0.9712339043617249,-0.03666086164362069,-0.04669909551739693,0.3012770712375641,0.027591262105852367,75.0,100.0,773,17,0,-9999.0
20240516,EPSG:32651,223,151,5,float32,500.0,500.0,996,0.02957859412585751,-0.5011441707611084,0.6749874949455261,-0.1307887385237446,-0.055671557784080505,0.2435341775417328,0.004213993373565632,60.0,100.0,46,950,0,-9999.0
20240517,EPSG:32651,223,151,5,float32,500.0,500.0,1700,0.050485552222849166,-0.9901719689369202,0.8548387289047241,-0.2970831897674019,-0.053108543157577515,0.3013060390949249,-0.014314943457168685,60.0,100.0,873,827,0,-9999.0
20240518,EPSG:32651,223,151,5,float32,500.0,500.0,7072,0.21001989724705253,-0.9945054650306702,0.7719699740409851,-0.3508476583397066,-0.056264523416757584,0.30824512243270874,-0.023072015878758356,55.0,100.0,6077,995,0,-9999.0
20240519,EPSG:32651,223,151,5,float32,500.0,500.0,89,0.0026430671457844564,-0.1342335194349289,0.6807006001472473,0.2884561645515849,-0.009022210724651814,0.18628020584583282,0.05759298176311082,80.0,80.0,89,0,0,-9999.0
20240520,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240521,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240522,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
