date,crs,width,height,count,res_x,res_y,nodata,valid_pixels,valid_area_km2,ndvi_min,ndvi_max,ndvi_mean,fai1640_min,fai1640_max,fai1640_mean,fai1240_min,fai1240_max,fai1240_mean,source_terra_pixels,source_aqua_pixels,fai1240_ge_-0.004,fai1240_ge_0,fai1240_ge_0.03,fai1240_ge_0.05,fai1240_ge_0.0693,fai1240_ge_0.1
20240501,EPSG:32651,144,139,6,500.0,500.0,-9999.0,1916,479.0,-0.9702970385551453,0.835117757320404,-0.4700883930113501,-0.07133015245199203,0.27770593762397766,-0.0381632038455438,-0.04273831844329834,0.2132682353258133,-0.027933322135524314,1916,0,56,54,42,32,22,17
20240502,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240503,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240504,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240505,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240506,EPSG:32651,144,139,6,500.0,500.0,-9999.0,69,17.25,-0.4658944606781006,0.5179487466812134,-0.41998946882676386,-0.050938792526721954,0.10626201331615448,-0.04405238355199496,-0.037725042551755905,0.08371428400278091,-0.031752729491479156,69,0,1,1,1,1,1,0
20240507,EPSG:32651,144,139,6,500.0,500.0,-9999.0,16,4.0,-0.22038567066192627,0.7841306924819946,0.164632985368371,-0.03284231200814247,0.10890673100948334,0.022940495517104864,-0.025271596387028694,0.0968833640217781,0.019148393301293254,0,16,8,8,6,4,4,0
20240508,EPSG:32651,144,139,6,500.0,500.0,-9999.0,2749,687.25,-0.9950000047683716,0.7700807452201843,-0.3956883887078704,-0.050170350819826126,0.32399576902389526,-0.03340093632570931,-0.050580840557813644,0.24383597075939178,-0.02530926030973502,1396,1353,92,81,42,37,30,16
20240509,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240510,EPSG:32651,144,139,6,500.0,500.0,-9999.0,1788,447.0,-0.9282700419425964,0.7821363806724548,-0.43306502388239165,-0.05452995002269745,0.2594433128833771,-0.038237986241644914,-0.05676789954304695,0.19139395654201508,-0.029043829768563525,185,1603,52,48,37,27,20,10
20240511,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240512,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240513,EPSG:32651,144,139,6,500.0,500.0,-9999.0,980,245.0,-0.4955640137195587,0.7367269992828369,-0.37335635942302414,-0.05675015226006508,0.33393678069114685,-0.03046740237813519,-0.04369159787893295,0.25841546058654785,-0.02293227233838442,979,1,26,26,20,14,13,10
20240514,EPSG:32651,144,139,6,500.0,500.0,-9999.0,974,243.5,-0.9832869172096252,0.5154827237129211,-0.2785051677039455,-0.05440210923552513,0.10491999983787537,-0.041026315317647936,-0.03989579901099205,0.0807667225599289,-0.028842107376353374,932,42,14,14,8,4,3,0
20240515,EPSG:32651,144,139,6,500.0,500.0,-9999.0,515,128.75,-0.9893617033958435,0.9712339043617249,-0.2757883975155724,-0.04669909551739693,0.3012770712375641,-0.020421166619900795,-0.03543563187122345,0.2372603416442871,-0.014025755554641223,513,2,79,77,44,31,24,15
20240516,EPSG:32651,144,139,6,500.0,500.0,-9999.0,590,147.5,-0.5011441707611084,0.45591142773628235,-0.46060095798082146,-0.055671557784080505,0.12067316472530365,-0.04678418859346154,-0.04287680611014366,0.11580117791891098,-0.035866017540190684,3,587,3,3,3,3,1,1
20240517,EPSG:32651,144,139,6,500.0,500.0,-9999.0,1303,325.75,-0.9901719689369202,0.7576444149017334,-0.44611834196684025,-0.053108543157577515,0.24216844141483307,-0.03946102880951409,-0.04876386374235153,0.18411831557750702,-0.02984160397570589,758,545,41,39,30,18,13,8
20240518,EPSG:32651,144,139,6,500.0,500.0,-9999.0,6060,1515.0,-0.9945054650306702,0.7719699740409851,-0.42816956224477665,-0.056264523416757584,0.30824512243270874,-0.03531701418734655,-0.04357680678367615,0.2354428619146347,-0.026268785295994974,5197,863,275,262,165,109,86,59
20240519,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240520,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240521,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240522,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240523,EPSG:32651,144,139,6,500.0,500.0,-9999.0,3631,907.75,-0.9882006049156189,0.8014395833015442,-0.4235076931501061,-0.05554432049393654,0.29543477296829224,-0.033691038136881284,-0.042489245533943176,0.22814184427261353,-0.025360655021193664,3607,24,132,129,86,64,54,37
20240524,EPSG:32651,144,139,6,500.0,500.0,-9999.0,34,8.5,-0.34328359365463257,0.9838523864746094,0.6560384496389067,-0.012829748913645744,0.2683865427970886,0.0663645725854782,-0.0038571427576243877,0.22298437356948853,0.0558224121136043,31,3,34,31,23,21,8,3
